"Absolute Permeability (px2) 
";0.7648405445726897
"Formation Factor (ratio)
";0.2833953333286917
"Cementation Factor (ratio)
";0.47631880601242027
"pore density (1/px3)
";0.2765271722253343
"Tortuosity (ratio)
";0.3855462071099006
"Average Coorination Number
";0.3629501032634107
"Average Throat Radius (px)
";0.9384260720573812
"Average Pore Radius (px)
";0.44508519543087466
"Average Throat Length (px)
";0.07040396489332101
"Pore to Throat Aspect ratio 
";0.3900014805828297
"Specific Surface (1/px)
";0.4223594707363727
"Pore Sphericity (ratio)
";0.10251946435731008
"Grain Sphericity (ratio)
";0.33303790063196925
"Average Grain Radius (ratio)
";0.3012144305300507
"Relative Young Module (ratio)
";0.9689802948621747
